id,obreiro_id,valor,data,status,referencia,created_at
7041e729-fc3e-4b29-aa87-1db406581099,22222222-2222-2222-2222-222222222201,60.00,2026-08-05,pago,08/2026,2026-08-21 19:31:24.377422+00
2ac1815b-f22c-40b9-ba05-b7bf71207603,22222222-2222-2222-2222-222222222202,60.00,2026-08-06,pago,08/2026,2026-08-21 19:31:24.377422+00
1664bb67-0401-4fce-b9dd-7f3f5fb3344a,22222222-2222-2222-2222-222222222203,50.00,2026-08-10,pendente,08/2026,2026-08-21 19:31:24.377422+00
34acf1fb-6103-4e24-9390-32db76b8ac5f,22222222-2222-2222-2222-222222222204,40.00,2026-07-15,atrasado,07/2026,2026-08-21 19:31:24.377422+00
b1718e7c-dcdd-44b2-a962-e78462fd2ad5,22222222-2222-2222-2222-222222222205,50.00,2026-08-02,pago,08/2026,2026-08-21 19:31:24.377422+00
3ae4e7a3-d7aa-443e-9705-cfed14d2c38b,22222222-2222-2222-2222-222222222206,60.00,2026-08-03,pago,08/2026,2026-08-21 19:31:24.377422+00
7e4d5e46-d60c-433e-8202-0b95d881e691,22222222-2222-2222-2222-222222222207,40.00,2026-08-12,pendente,08/2026,2026-08-21 19:31:24.377422+00
b7fc7612-8d18-420f-b3e3-7aac34ccdc6c,22222222-2222-2222-2222-222222222201,60.00,2026-07-05,pago,07/2026,2026-08-21 19:31:24.377422+00
b35098ff-ac7c-486b-9e52-ed99900b2437,22222222-2222-2222-2222-222222222202,60.00,2026-07-06,pago,07/2026,2026-08-21 19:31:24.377422+00
46bd084c-fdf5-4eb5-b3ae-a95152aae9eb,22222222-2222-2222-2222-222222222205,50.00,2026-07-02,pago,07/2026,2026-08-21 19:31:24.377422+00
